"date","cb_assets"
2004-01-01,194378.75
2004-02-01,193596.5
2004-03-01,190174.25
2004-04-01,199514.5
2004-05-01,186873.5
2004-06-01,184538.25
2004-07-01,183791.25
2004-08-01,181441.25
2004-09-01,183051
2004-10-01,181975.5
2004-11-01,181058.25
2004-12-01,187443.75
2005-01-01,181016.25
2005-02-01,178515.5
2005-03-01,178317.5
2005-04-01,186863.5
2005-05-01,185782
2005-06-01,180672.5
2005-07-01,193750.25
2005-08-01,194291
2005-09-01,192868.5
2005-10-01,191195.25
2005-11-01,192079.5
2005-12-01,202337.75
2006-01-01,199686
2006-02-01,200456.5
2006-03-01,200867.75
2006-04-01,206195.25
2006-05-01,205384.75
2006-06-01,201150
2006-07-01,202293.75
2006-08-01,190454.5
2006-09-01,188469
2006-10-01,196025.75
2006-11-01,196740.75
2006-12-01,205162
2007-01-01,197949.5
2007-02-01,199783.5
2007-03-01,198837.75
2007-04-01,203537
2007-05-01,199167.25
2007-06-01,205513.75
2007-07-01,201641
2007-08-01,201691.75
2007-09-01,202101
2007-10-01,199052.5
2007-11-01,204126.25
2007-12-01,210297
2008-01-01,208953.5
2008-02-01,214033.75
2008-03-01,208722
2008-04-01,201955.75
2008-05-01,199170
2008-06-01,196030.5
2008-07-01,203356.75
2008-08-01,203020.5
2008-09-01,222109.5
2008-10-01,446072.75
2008-11-01,606241.5
2008-12-01,646525.75
2009-01-01,632234.75
2009-02-01,640416
2009-03-01,677735.25
2009-04-01,651511.25
2009-05-01,611339.5
2009-06-01,667922.25
2009-07-01,728235
2009-08-01,695130.666666667
2009-09-01,696663.5
2009-10-01,645961.5
2009-11-01,709401.75
2009-12-01,703577
2010-01-01,713380.25
2010-02-01,712483
2010-03-01,709583.25
2010-04-01,704656
2010-05-01,704518.5
2010-06-01,712671.5
2010-07-01,651802.75
2010-08-01,605928.5
2010-09-01,485541.25
2010-10-01,353720.25
2010-11-01,340224.25
2010-12-01,336075.5
2011-01-01,327229.75
2011-02-01,327552.5
2011-03-01,328100
2011-04-01,321024.25
2011-05-01,316153
2011-06-01,321416.25
2011-07-01,328112
2011-08-01,328104
2011-09-01,332956.5
2011-10-01,346215
2011-11-01,346760.25
2011-12-01,348162
2012-01-01,343078
2012-02-01,348116.25
2012-03-01,350751.75
2012-04-01,344840.75
2012-05-01,343829
2012-06-01,350248
2012-07-01,357437.25
2012-08-01,358413.25
2012-09-01,355338.5
2012-10-01,347190.5
2012-11-01,348436.75
2012-12-01,348089.75
2013-01-01,364229
2013-02-01,430308.75
2013-03-01,443693.5
2013-04-01,448121.25
2013-05-01,458290.75
2013-06-01,441269.5
2013-07-01,446821.5
2013-08-01,447154.25
2013-09-01,444813
2013-10-01,437901.5
2013-11-01,436260.75
2013-12-01,434431
2014-01-01,436562.5
2014-02-01,434812.25
2014-03-01,439101.5
2014-04-01,443446.5
2014-05-01,444230.5
2014-06-01,442625
2014-07-01,455882.5
2014-08-01,456444
2014-09-01,463780.25
2014-10-01,472988.5
2014-11-01,472616.75
2014-12-01,479618.25
2015-01-01,507569.75
2015-02-01,504924.75
2015-03-01,518826.5
2015-04-01,559094
2015-05-01,582066
2015-06-01,594887.5
2015-07-01,593794.75
2015-08-01,599847
2015-09-01,618345.75
2015-10-01,638381.75
2015-11-01,655940
2015-12-01,667627.75
2016-01-01,667178.5
2016-02-01,682773.25
2016-03-01,702886
2016-04-01,708024.25
2016-05-01,721782.25
2016-06-01,747445.75
2016-07-01,771130.25
2016-08-01,780139.5
2016-09-01,802492
2016-10-01,827433.25
2016-11-01,829464.5
2016-12-01,835805
2017-01-01,842390.75
2017-02-01,852862.5
2017-03-01,855645.5
2017-04-01,866606.75
2017-05-01,871107.75
2017-06-01,873121.75
2017-07-01,870485
2017-08-01,854134.25
2017-09-01,847159.75
2017-10-01,848284.25
2017-11-01,857563.75
2017-12-01,861547
2018-01-01,879007
2018-02-01,886965
2018-03-01,879392.75
2018-04-01,896152.25
2018-05-01,896662
2018-06-01,909272
2018-07-01,933385.75
2018-08-01,935137.25
2018-09-01,937439.5
2018-10-01,934644.75
2018-11-01,937117.5
2018-12-01,937183
2019-01-01,944560.75
2019-02-01,954355.25
2019-03-01,929797.5
2019-04-01,939841.75
2019-05-01,922507.75
2019-06-01,922457.5
2019-07-01,929414.75
2019-08-01,910664.25
2019-09-01,923907.25
2019-10-01,939932.25
2019-11-01,928968.5
2019-12-01,920883.25
2020-01-01,898691
2020-02-01,906324.75
2020-03-01,953519.75
2020-04-01,1157210
2020-05-01,1218314
2020-06-01,1232129.25
2020-07-01,1228001.5
2020-08-01,1253904.25
2020-09-01,1286607.75
2020-10-01,1340413.75
2020-11-01,1358482.75
2020-12-01,1312190
2021-01-01,1308148.25
2021-02-01,1346937
2021-03-01,1363545
2021-04-01,1307195.5
2021-05-01,1329372.75
2021-06-01,1367787.5
2021-07-01,1392700.25
2021-08-01,1421750.5
2021-09-01,1483221.25
2021-10-01,1506110.5
2021-11-01,1544819.75
2021-12-01,1551961
2022-01-01,1573700.5
2022-02-01,1594538.5
2022-03-01,1584115
2022-04-01,1551563.5
2022-05-01,1568649.75
2022-06-01,1486108.5
2022-07-01,1499511.75
2022-08-01,1510959.75
2022-09-01,1517095.5
2022-10-01,1506995.5
2022-11-01,1517916.5
2022-12-01,1542307.25
2023-01-01,1591091.25
2023-02-01,1560543
2023-03-01,1534120
2023-04-01,1509920.75
2023-05-01,1416031.25
2023-06-01,1391849.25
2023-07-01,1395767.5
2023-08-01,1400571.33333333
2023-09-01,1375679.5
2023-10-01,1357375.75
2023-11-01,1297003.5
2023-12-01,1266202.25
2024-01-01,1260514
2024-02-01,1252663.5
2024-03-01,1237035.75
2024-04-01,1254458
2024-05-01,1242501.5
2024-06-01,1230490
2024-07-01,1230469.5
2024-08-01,1236415.75
2024-09-01,1208607.75
2024-10-01,1165987.75
2024-11-01,1167327.25
2024-12-01,1133452.75
2025-01-01,1150363
2025-02-01,1146767
2025-03-01,1129256.5
2025-04-01,1098486.25
2025-05-01,1047125
2025-06-01,993421.75
2025-07-01,973516.75
2025-08-01,977917.25
2025-09-01,944677.75
2025-10-01,936049
2025-11-01,932594.5
2025-12-01,920326.25
2026-01-01,917033
2026-02-01,901542
